mean_x,std_x,min_x,max_x,mean_y,std_y,min_y,max_y,speed_mean,speed_std,acc_mean,acc_std,dom_freq,speed_energy,label,start_row,end_row
415.04,1.0190191362285597,413.0,416.0,384.86,1.9184368636991942,382.0,387.0,7.414213562373095,6.7103976969716825,3.125,126.89962815154345,4.0,90.34222866780371,0,2750,2800
413.08,2.704366839021659,401.0,415.0,383.12,0.9086253353280438,381.0,386.0,16.052305388136766,18.417342146085993,-21.875,200.12203308231705,0.0,208.32567261678508,0,2775,2825
415.62,12.430430402846074,398.0,439.0,384.92,4.39017083950044,379.0,394.0,36.5153411592474,39.26359458867429,0.0,360.39258108346235,0.5,2061.054345364786,0,2800,2850
417.28,15.932407225526216,398.0,439.0,387.6,5.624944444170094,379.0,398.0,56.194062490852446,42.40845836356433,15.625,428.7632104378826,1.0,4506.1512568313,0,2825,2875
411.14,11.506537272350878,399.0,438.0,394.24,6.915374176427476,379.0,400.0,31.747162172547963,40.36852355474422,0.0,302.97999108852053,0.5,1609.4887157007754,0,2850,2900
406.46,1.0432641084595982,404.0,409.0,396.68,3.93669912490147,389.0,400.0,11.87461175370661,17.128006179901174,-31.25,214.23920626253263,0.5,666.8772062625038,0,2875,2925
406.92,2.0960916010518242,404.0,412.0,389.7,4.729693436154187,381.0,400.0,19.695142667160326,15.699565450043544,-50.0,258.52647349933045,0.5,304.0901322622077,0,2900,2950
410.4,3.1559467676119,405.0,414.0,386.42,2.088923167567443,381.0,391.0,12.615615885328452,10.907393631562421,0.0,159.34435979977454,0.5,243.90031259235295,0,2925,2975
413.84,1.2387090053761618,411.0,415.0,387.24,1.068831137270991,385.0,390.0,7.576783947341316,7.832135405833517,0.0,143.20549046737,1.5,98.25981912909818,0,2950,3000
408.12,13.729734156202733,372.0,415.0,390.32,7.637905472051877,383.0,420.0,41.36020851930314,57.94897023450687,15.625,413.69382171480396,0.5,2448.6548378309008,0,2975,3025
387.76,18.28065644335564,372.0,415.0,406.5,15.252868582663394,383.0,420.0,35.64816052865733,60.03506184658327,0.0,389.0593624371479,0.5,11643.09359994295,0,3000,3050
375.54,4.119271780302921,374.0,392.0,417.6,6.884765791223402,389.0,420.0,19.508405610961535,45.525235974327515,40.625,253.51050890446336,0.5,857.6765551940996,0,3025,3075
397.5,24.092529962625346,374.0,450.0,399.78,17.12809388110656,380.0,420.0,54.22607974258651,50.62269526359348,9.375,359.5923255924687,1.0,5269.285947875847,0,3050,3100
422.58,19.443343333902224,395.0,450.0,387.12,6.987531753058443,380.0,400.0,64.05328396920687,45.93121828081795,-12.5,419.0763653560052,1.5,4487.879786645393,1,3075,3125
427.36,19.13505683294408,401.0,450.0,390.3,8.178630692236935,380.0,401.0,57.52672637655872,50.990692801692184,0.0,378.8861141556919,1.0,4149.0962664599565,1,3100,3150
422.96,18.481298655668112,400.0,447.0,388.44,8.908782183890231,377.0,401.0,58.42637490526174,47.81588350569089,9.375,352.73761937876714,1.0,5387.207295941606,1,3125,3175
426.66,17.467237904145005,400.0,446.0,389.94,8.640393509557306,377.0,401.0,66.22154244999315,47.752825210072686,-71.875,420.6695741612412,1.0,4210.26731948258,1,3150,3200
424.02,16.210478092887946,400.0,446.0,388.98,7.484624239065045,379.0,401.0,74.85487607201213,46.56847139689797,9.375,419.73996786701167,1.0,4762.051753155178,1,3175,3225
428.56,18.200175823326543,400.0,449.0,390.26,7.832777285229039,379.0,401.0,63.88950065387018,47.16335130373076,12.5,377.3882284862632,1.0,4426.647541598233,1,3200,3250
428.1,17.11636643683466,405.0,449.0,390.64,7.279450528714375,380.0,401.0,47.284376044115476,38.50893119938125,-6.25,352.11415052508187,1.0,4786.332285186582,1,3225,3275
427.48,16.759761334816197,405.0,449.0,390.6,7.107742257566744,380.0,401.0,54.71949722956204,44.259480599572704,-12.5,339.2316686277978,1.0,2704.7277794976644,1,3250,3300
424.28,19.380443751369572,403.0,449.0,391.16,6.847948597937925,380.0,401.0,46.07240804223682,43.72308563207349,-37.5,313.37377841804187,1.0,5795.476517461057,1,3275,3325
406.9,2.2737634001804143,403.0,416.0,388.42,3.4761472926215315,380.0,392.0,18.400585155340174,23.495605247387754,50.0,180.710403685012,0.5,305.5136182891102,0,3300,3350
408.38,1.12942463227964,407.0,414.0,389.0,3.730951621235526,379.0,392.0,15.24473906231272,16.166259026812504,12.5,124.3734296383275,0.5,241.6079114702071,0,3325,3375
424.46,17.21302994826884,408.0,447.0,391.18,7.064531123860945,379.0,401.0,32.59742603017372,34.00232074737477,-15.625,217.0694373351532,0.5,3527.682354408566,0,3350,3400
439.94,9.39448774548139,415.0,447.0,395.26,6.411895195650035,381.0,401.0,41.74697354225902,43.312125323769614,-87.5,223.51943427809582,0.5,2392.829572241114,1,3375,3425
428.38,17.5110136771119,399.0,447.0,390.1,7.507995737878386,380.0,400.0,56.63486799866168,40.17918275393573,9.375,293.8330999479126,1.0,2966.7752326050268,1,3400,3450
425.46,18.31415845732476,399.0,448.0,386.72,7.4539653876309355,376.0,398.0,61.0324472370612,41.9081183573701,50.0,355.5365663331973,1.0,3902.4102982839863,1,3425,3475
433.02,16.459027917832813,407.0,450.0,387.92,9.061655477891444,376.0,398.0,51.67096313204336,48.690210196784065,15.625,371.4020101251473,1.5,4450.44373674246,1,3450,3500
